Asimaki, Domniki, PhD in Civil Engineering – Massachusetts Institute of Technology, Assistant Professor, School of Civil and Environmental Engineering
Ayazi, Farrokh, PhD in Electrical Engineering – University of Michigan–Ann Arbor, Professor, School of Electrical and Computer Engineering
Ayhan, Hayriye, PhD in Industrial/Manufacturing Engineering – Texas A&M University, Professor, Stewart School of Industrial and Systems Engineering
Babensee, Julia Elizabeth, PhD in Chemical Engineering – University of Toronto, Associate Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Bader, David Albert, PhD in Computer Engineering – University of Maryland College Park, Professor, School of Computational Science
Baker, Nelson C., PhD in Civil Engineering – Carnegie Mellon University, Vice Provost, Distance Learning and Professional Education
Bakir, Muhannad, PhD in Electrical Engineering – Georgia Institute of Technology, Associate Professor, School of Electrical and Computer Engineering
Banerjee, Sujit, PhD in Chemistry – Concordia University, Professor, School of Chemical and Biomolecular Engineering
Bao, Gang, PhD in Applied Mathematics – Lehigh University, Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Barabino, Gilda Ann, PhD in Chemical Engineering – Rice University, Associate Chair, Coulter Department of Biomedical Engineering (Tech/Emory)
Barker, Thomas Harrison, PhD in Bioengineering and Biomedical Engineering – University of Alabama–Birmingham, Assistant Professor, Coulter Department of Biomedical Engineering
Barnes, Christopher F., PhD in Electrical Engineering – Brigham Young University, Associate Professor, Georgia Tech Savannah
Barry, John R., PhD in Electrical Engineering – University of California–Berkeley, Professor, School of Electrical and Computer Engineering
Bartholdi, John J., PhD in Industrial/Manufacturing Engineering – University of Florida, Professor, Stewart School of Industrial and Systems Engineering
Bassiri–Gharb, Nazanin, PhD in Materials Science – Pennsylvania State University, Assistant Professor, Woodruff School of Mechanical Engineering
Bauchau, Olivier A., PhD in Structural Engineering – Massachusetts Institute of Technology, Professor, Guggenheim School of Aerospace Engineering
Beckham, Haskell W., PhD in Engineering –Massachusetts Institute of Technology, Professor, School of Materials Science and Engineering
Begovic, Miroslav M., PhD in Electrical Engineering – Virginia Polytechnic Institute, Professor, School of Electrical and Computer Engineering
Behrens, Sven Holger, PhD in Physics – Swiss Federal ETH, Associate Professor, School of Chemical and Biomolecular Engineering
Bellamkonda, Ravi Venkat, PhD in Biomedical Engineering – Brown University, Professor, Coulter Department of Biomedical Engineering (Tech/Emory)
Benkeser, Paul J., PhD in Electrical Engineering – University of Illinois–Urbana Champaign, Associate Chair, School of Electrical and Computer Engineering
Bergin, Michael H., PhD in Civil Engineering – Carnegie Mellon University, Professor, School of Civil and Environmental Engineering
Berthelot, Yves H., PhD in Mechanical Engineering – University of Texas–Austin, Professor, Woodruff School of Mechanical Engineering
Bhatti, Pamela T., PhD in Electrical Engineering – University of Michigan–Ann Arbor, Assistant Professor, School of Electrical and Computer Engineering
Biros, George, PhD in Computational Science and Engineering – Carnegie Mellon University, Assistant Dean, College of Computing
